distance,image_a,image_b,sha256_a,sha256_b,exact_duplicate,dataset_a,dataset_b,subset_a,subset_b,crop_a,crop_b
0,datasets\raw\Banana\AugmentedSet\healthy\236_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\23.jpeg,89c6a24e87324f3a6fd0e6117f0ea12f705f780f3d679c2eaab013ec294656be,595dd192268bd2efd44ce3acf71fbca5280747db20fcc41bcfc2b6cf3940c050,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\236_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\54.jpeg,89c6a24e87324f3a6fd0e6117f0ea12f705f780f3d679c2eaab013ec294656be,595dd192268bd2efd44ce3acf71fbca5280747db20fcc41bcfc2b6cf3940c050,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\77_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\23.jpeg,666d25c482fbe7fcffe46598ba96d522da18862d5de71e03abf405db4f24d9c8,595dd192268bd2efd44ce3acf71fbca5280747db20fcc41bcfc2b6cf3940c050,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\77_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\54.jpeg,666d25c482fbe7fcffe46598ba96d522da18862d5de71e03abf405db4f24d9c8,595dd192268bd2efd44ce3acf71fbca5280747db20fcc41bcfc2b6cf3940c050,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\OriginalSet\healthy\23.jpeg,datasets\raw\Banana\OriginalSet\healthy\54.jpeg,595dd192268bd2efd44ce3acf71fbca5280747db20fcc41bcfc2b6cf3940c050,595dd192268bd2efd44ce3acf71fbca5280747db20fcc41bcfc2b6cf3940c050,YES,Banana,Banana,Original,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\257_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\258_aug.jpeg,e54a5a5e6a788c651a06dd289ff3339d6069cfe46249cc4db1cf7a984fdbadd0,e54a5a5e6a788c651a06dd289ff3339d6069cfe46249cc4db1cf7a984fdbadd0,YES,Banana,Banana,Augmented,Augmented,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\257_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\19.jpeg,e54a5a5e6a788c651a06dd289ff3339d6069cfe46249cc4db1cf7a984fdbadd0,ce7f23c94c2c33c1561dcb504873b66d476032b7295bed67bae0fe75ff3dbebd,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\257_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\58.jpeg,e54a5a5e6a788c651a06dd289ff3339d6069cfe46249cc4db1cf7a984fdbadd0,ce7f23c94c2c33c1561dcb504873b66d476032b7295bed67bae0fe75ff3dbebd,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\258_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\19.jpeg,e54a5a5e6a788c651a06dd289ff3339d6069cfe46249cc4db1cf7a984fdbadd0,ce7f23c94c2c33c1561dcb504873b66d476032b7295bed67bae0fe75ff3dbebd,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\258_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\58.jpeg,e54a5a5e6a788c651a06dd289ff3339d6069cfe46249cc4db1cf7a984fdbadd0,ce7f23c94c2c33c1561dcb504873b66d476032b7295bed67bae0fe75ff3dbebd,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\OriginalSet\healthy\19.jpeg,datasets\raw\Banana\OriginalSet\healthy\58.jpeg,ce7f23c94c2c33c1561dcb504873b66d476032b7295bed67bae0fe75ff3dbebd,ce7f23c94c2c33c1561dcb504873b66d476032b7295bed67bae0fe75ff3dbebd,YES,Banana,Banana,Original,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\280_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\281_aug.jpeg,bc89d32a71e6fdd2fe366530c401baa3435808eee61aa3fc23edcae023527cc5,bc89d32a71e6fdd2fe366530c401baa3435808eee61aa3fc23edcae023527cc5,YES,Banana,Banana,Augmented,Augmented,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\314_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\40.jpeg,6dc8043865c5326cdf0b040b6631f7ae173809841a7e15d179ccd47e0b744cba,64d91f2ff4ceb70a7e403e28906200ad1ccce6be50de10e5efc485e45c538cf8,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\314_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\7.jpeg,6dc8043865c5326cdf0b040b6631f7ae173809841a7e15d179ccd47e0b744cba,64d91f2ff4ceb70a7e403e28906200ad1ccce6be50de10e5efc485e45c538cf8,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\OriginalSet\healthy\40.jpeg,datasets\raw\Banana\OriginalSet\healthy\7.jpeg,64d91f2ff4ceb70a7e403e28906200ad1ccce6be50de10e5efc485e45c538cf8,64d91f2ff4ceb70a7e403e28906200ad1ccce6be50de10e5efc485e45c538cf8,YES,Banana,Banana,Original,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\342_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\75.jpeg,16d9b4509cc038b9fae08b525f68405350c2e1ad450bf5a1e6a7142b8818cca8,251f8184c3e2b56023c260763c73dafa5f3e67f0dcc619d4440ec6d58e4267bb,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\35_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\108.jpeg,725d8a8057cabf2838e640806bc0c3d9be49e80f1a5b69f428f3a721b7040b66,865f6d393f5993de3ee7f7adb101f6bed767ec373620fb1fc63f1b68b1366718,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\35_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\16.jpeg,725d8a8057cabf2838e640806bc0c3d9be49e80f1a5b69f428f3a721b7040b66,865f6d393f5993de3ee7f7adb101f6bed767ec373620fb1fc63f1b68b1366718,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\OriginalSet\healthy\108.jpeg,datasets\raw\Banana\OriginalSet\healthy\16.jpeg,865f6d393f5993de3ee7f7adb101f6bed767ec373620fb1fc63f1b68b1366718,865f6d393f5993de3ee7f7adb101f6bed767ec373620fb1fc63f1b68b1366718,YES,Banana,Banana,Original,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\397_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\47.jpeg,5fb35f0a876a1a84730e6bd0419c98b7a15c2d70f44e9e8fecfb091ec9445f9e,34fd38ea0931e8dd56a50ac12900b27169fced092ac231a56ce40a78d3fa0b64,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\397_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\9.jpeg,5fb35f0a876a1a84730e6bd0419c98b7a15c2d70f44e9e8fecfb091ec9445f9e,34fd38ea0931e8dd56a50ac12900b27169fced092ac231a56ce40a78d3fa0b64,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\OriginalSet\healthy\47.jpeg,datasets\raw\Banana\OriginalSet\healthy\9.jpeg,34fd38ea0931e8dd56a50ac12900b27169fced092ac231a56ce40a78d3fa0b64,34fd38ea0931e8dd56a50ac12900b27169fced092ac231a56ce40a78d3fa0b64,YES,Banana,Banana,Original,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\81_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\126.jpeg,c104f96bdf7ec3bf2a1947fad3b51af7be8b7b4aa97ad97b012c60608cd30c6d,093f84343823f85bb18a4db225630208b822153cabaa7b831977f103aa954575,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\81_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\24.jpeg,c104f96bdf7ec3bf2a1947fad3b51af7be8b7b4aa97ad97b012c60608cd30c6d,093f84343823f85bb18a4db225630208b822153cabaa7b831977f103aa954575,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\OriginalSet\healthy\126.jpeg,datasets\raw\Banana\OriginalSet\healthy\24.jpeg,093f84343823f85bb18a4db225630208b822153cabaa7b831977f103aa954575,093f84343823f85bb18a4db225630208b822153cabaa7b831977f103aa954575,YES,Banana,Banana,Original,Original,Banana,Banana
