distance,image_a,image_b,crop_a,crop_b,dataset_a,dataset_b,review_priority
0,datasets\raw\Banana\AugmentedSet\sigatoka\102_aug.jpeg,datasets\raw\Banana\OriginalSet\sigatoka\197.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\sigatoka\132_aug.jpeg,datasets\raw\Banana\OriginalSet\sigatoka\219.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\sigatoka\144_aug.jpeg,datasets\raw\Banana\OriginalSet\sigatoka\227.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\sigatoka\310_aug.jpeg,datasets\raw\Banana\OriginalSet\sigatoka\402.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\sigatoka\317_aug.jpeg,datasets\raw\Banana\OriginalSet\sigatoka\406.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\sigatoka\325_aug.jpeg,datasets\raw\Banana\OriginalSet\sigatoka\416.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\sigatoka\373_aug.jpeg,datasets\raw\Banana\OriginalSet\sigatoka\74.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\sigatoka\379_aug.jpeg,datasets\raw\Banana\OriginalSet\sigatoka\8.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\sigatoka\382_aug.jpeg,datasets\raw\Banana\OriginalSet\sigatoka\81.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\sigatoka\51_aug.jpeg,datasets\raw\Banana\OriginalSet\sigatoka\144.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\sigatoka\97_aug.jpeg,datasets\raw\Banana\OriginalSet\sigatoka\193.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\sigatoka\99_aug.jpeg,datasets\raw\Banana\OriginalSet\sigatoka\195.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\0.jpeg,datasets\raw\Banana\OriginalSet\healthy\104.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\1.jpeg,datasets\raw\Banana\OriginalSet\healthy\109.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\10.jpeg,datasets\raw\Banana\OriginalSet\healthy\106.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\101.jpeg,datasets\raw\Banana\OriginalSet\healthy\46.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\102.jpeg,datasets\raw\Banana\OriginalSet\healthy\39.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\103.jpeg,datasets\raw\Banana\OriginalSet\healthy\110.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\105.jpeg,datasets\raw\Banana\OriginalSet\healthy\11.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\107.jpeg,datasets\raw\Banana\OriginalSet\healthy\14.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\111.jpeg,datasets\raw\Banana\OriginalSet\healthy\18.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\112.jpeg,datasets\raw\Banana\OriginalSet\healthy\62.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\12.jpeg,datasets\raw\Banana\OriginalSet\healthy\45.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\122.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\78.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\123.jpeg,datasets\raw\Banana\OriginalSet\healthy\4.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\124.jpeg,datasets\raw\Banana\OriginalSet\healthy\30.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\125.jpeg,datasets\raw\Banana\OriginalSet\healthy\31.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\127.jpeg,datasets\raw\Banana\OriginalSet\healthy\22.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\128.jpeg,datasets\raw\Banana\OriginalSet\healthy\21.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\15.jpeg,datasets\raw\Banana\OriginalSet\healthy\44.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\17.jpeg,datasets\raw\Banana\OriginalSet\healthy\63.jpeg,Banana,Banana,original,original,HIGH
